placeid,placename,uhitmin,uhitmax,uhitavg
9218,Wichita,0.057167698714373216,0.04787541343431201,0.05252155607434972
11474,Springfield,0.8599113792767916,-0.5161490277347127,0.17188117577104478
18444,Raleigh,0.23592383385489057,-0.02428742531505179,0.10581820426993005
25621,Dallas,0.2700993589500129,0.15227694634263855,0.21118815264633284
2071,Lancaster,0.35748740413551516,-0.34061019578815177,0.008438604173683473
11800,Grand Rapids,1.0802039879468452,-0.31874141538993683,0.3807312862784542
2094,Modesto,0.1414774184412977,0.2097928256971784,0.1756351220692416
25649,Houston,0.4205163927055082,0.10978424274288301,0.26515031772419206
5175,Columbus,0.5065278045207933,0.09263179846601588,0.2995798014934117
16966,Rochester,0.09617112461308963,0.17947787179069508,0.13782449820189413
15433,Lincoln,0.4397335644815321,-0.15551918831304334,0.1421071880842497
586,Anchorage,0.12152148815199837,0.2153378382067217,0.16842966317935648
16461,Albuquerque,0.014340630495514262,0.02390992357566546,0.019125277035602295
13906,Kansas City,0.02859889691009343,-0.02256444118579992,0.0030172278621343196
28769,Madison,-0.07276831460725575,0.04291184786001878,-0.014928233373613153
25699,Corpus Christi,0.45015708828141854,0.3603388440598181,0.40524796617061654
2151,Santa Rosa,1.7168402912079692,2.2335511082952095,1.9751956997515876
3688,Denver,0.07200698320961507,0.038475125677123856,0.05524105444337124
2322,Fresno,0.14242813982297164,0.18630047827553398,0.16436430904925103
4207,Tampa,0.35026032640644544,0.30117660844705085,0.3257184674267499
4200,Miami,0.14446874192748993,0.03598058445239616,0.09022466318994304
12563,Minneapolis,2.09188711158839,-4.19411093722611,-1.0511119128188682
18040,Charlotte,0.9204256685107097,0.381158964290897,0.6507923164007927
26755,Richmond,0.23103755072615328,-0.10476883556154348,0.06313435758231734
132,Montgomery,2.5313443606492285,1.9524215224545003,2.241882941551861
25240,El Paso,0.049579260516509294,0.0352626818929167,0.04242097120469879
1689,Little Rock,0.40595070924550214,-0.09261459780945103,0.15666805571801845
26778,Virginia Beach,0.6138765525904439,-2.6227931210367217,-1.0044582842231407
7450,Indianapolis,0.3853300923761793,-2.197549308665657,-0.9061096081447424
2213,Bakersfield,0.40267127721986995,1.0341306169287208,0.7184009470743007
21159,Portland,0.11060055789286594,0.17148933866357652,0.14104494827822478
