placeid,placename,uhitmin,uhitmax,uhitavg
9218,Wichita,-0.2837690017891248,0.5291400906073491,0.12268554440910862
11474,Springfield,0.9143305730553308,-0.4109704762774484,0.25168004838895186
18444,Raleigh,0.38962816164973546,-0.13116901796453817,0.12922957184260042
25621,Dallas,0.8275489842822346,0.5314556263709065,0.6795023053265723
2071,Lancaster,0.2595510367659557,-0.18968228825156075,0.03493437425720458
11800,Grand Rapids,1.1456466816401658,-0.4022444656485149,0.3717011079958361
2094,Modesto,0.4761731911688507,0.013157899253108951,0.2446655452109745
25649,Houston,0.7955573362526955,-0.09470001531404648,0.35042866046932275
5175,Columbus,0.8419941941416624,0.041576712892222645,0.4417854535169461
16966,Rochester,0.8112751969766236,0.1338044097638118,0.4725398033702213
15433,Lincoln,0.8083093431716648,-0.007785111285855351,0.4002621159429083
586,Anchorage,0.2471775012846429,0.17486048643333163,0.21101899385898548
16461,Albuquerque,0.13496537733318803,0.1299666171980789,0.13246599726564412
13906,Kansas City,0.25115692821519886,0.056382010122476345,0.15376946916883938
28769,Madison,0.13337451416333224,0.050833847730295645,0.09210418094680506
25699,Corpus Christi,0.920793506213208,0.3640530495574481,0.6424232778853352
2151,Santa Rosa,1.8671832202204541,1.9967840553751017,1.9319836377977744
3688,Denver,0.5807738114775525,-0.07170631896529756,0.2545337462561257
2322,Fresno,0.46811272363494183,0.15921245369217019,0.3136625886635471
4207,Tampa,0.689061320531188,0.17425899700942438,0.43166015877029906
4200,Miami,0.3701546916117415,-0.02568762819323922,0.17223353170924227
12563,Minneapolis,2.035976407955836,-4.800108580722359,-1.382066086383258
18040,Charlotte,1.360893554397876,0.28880410945065904,0.824848831924264
26755,Richmond,0.897080088961296,-0.2630219965558993,0.3170290462026948
132,Montgomery,2.7138522317473637,1.6166660956113716,2.165259163679373
25240,El Paso,0.0778519176751793,-0.014107710329142265,0.03187210367301674
1689,Little Rock,0.7322681902319523,-0.23967983305191254,0.246294178590027
26778,Virginia Beach,0.5562120042309076,-2.357053071016285,-0.9004205333926834
7450,Indianapolis,0.27567388260839465,-1.7896737689060416,-0.7569999431488306
2213,Bakersfield,0.841783386993896,1.1620906772631017,1.0019370321284953
21159,Portland,0.15109941102055657,0.17947700873731165,0.16528820987894122
169,Mobile,0.4114339898736681,0.11636373824999424,0.26389886406184004
18094,Greensboro,0.59793684917436,0.35654031311366197,0.47723858114401096
13488,Jackson,0.40491244813978255,0.024180199517843448,0.2145463238288272
23732,Sioux Falls,0.7068651751281294,0.02637173505006274,0.36661845508908897
11447,Boston,1.6494085317291365,1.271148187790157,1.4602783597596485
22202,Philadelphia,-0.05074770746099233,-0.13895539456141393,-0.09485155101120313
4283,Cape Coral,0.3296800958291719,-0.06046453476966107,0.1346077805297483
18108,Winston-Salem,0.7964109627679825,-0.3762194722792813,0.21009574524434882
24259,Chattanooga,0.563665237020345,-0.288302529572789,0.13768135372378154
26319,Salt Lake City,0.35094205802882783,0.08334528324990131,0.2171436706393557
20088,Cleveland,0.09234392384714951,-0.07312132366454449,0.00961130009130784
7890,Fort Wayne,0.3541108041962424,-0.14730928585463587,0.10340075917081037
28384,Milwaukee,0.3474868786621421,0.016771902478023293,0.1821293905700756
10467,Baton Rouge,0.431565621594018,0.26910463686418495,0.3503351292291015
26855,Newport News,0.6035994205755202,0.3759291137647729,0.4897642671701483
10535,Shreveport,3.3790059815918525,3.0582397123666993,3.2186228469792724
2258,San Diego,0.8456355094327179,0.28403679521283465,0.5648361523227656
27401,Spokane,0.4805859109377266,0.14167613105118804,0.31113102099446266
15627,Las Vegas,0.062433217803128827,0.10681418962035494,0.08462370371174188
15628,Reno,0.3368734945993417,-0.10268834690807083,0.11709257384563543
24846,Lubbock,0.09656920218941423,-0.1114476448553603,-0.007439221332987245
14098,Saint Louis,0.47050010239568074,0.18167333358596238,0.326086717990826
17171,Buffalo,-0.3026210836113741,-3.1754429525850014,-1.7390320180981824
20014,Cincinnati,0.3682118320739569,-0.010620792095259901,0.17879551998933962
5398,Atlanta,-0.01992516721516857,0.45245836070910883,0.2162665967469657
24346,Nashville,0.46273731508280136,-0.14232826103938123,0.1602045270217083
4388,Orlando,1.5612469885893496,0.43872667616652095,0.9999868323779388
295,Birmingham,-0.5643477660077725,-0.5128658885715112,-0.538606827289648
9013,Des Moines,0.059621576438230406,0.22269237933469554,0.14115697788646386
11068,Baltimore,1.2156489757630666,0.241240469502916,0.7284447226329895
24387,Memphis,2.2469864694917128,2.4247267116396927,2.335856590565708
24904,San Antonio,0.7888958692182868,0.099597853327559,0.4442468612729229
24395,Knoxville,0.857752849237734,0.35711602042120205,0.607434434829468
5968,Boise City,0.6693598354895585,0.5053675064901135,0.5873636709898413
2386,Sacramento,2.471399695009037,2.9961473213246705,2.733773508166852
18147,Fayetteville,2.7731810058705832,2.7713578684999796,2.7722694371852867
21332,Salem,0.792055285939071,0.1461004424485921,0.46907786419382447
13654,Springfield,0.9110642664912305,0.2618336559918859,0.5864489612415547
21867,Pittsburgh,0.8403030624173162,0.6234425862145727,0.7318728243159391
10611,New Orleans,1.1833298243926116,0.3728673329170391,0.7780985786548236
21372,Eugene,0.24324376147800564,0.2314915364499086,0.23736764896396423
12159,Detroit,1.9836654813705152,1.1687108903093595,1.576188185839932
27521,Seattle,3.1860621727741254,2.8178315987124662,3.0019468857433047
19336,Columbus,0.18545469394989667,0.018130991900978444,0.10179284292543755
23277,Providence,0.45233231448280264,0.07140485305041011,0.26186858376660993
15252,Omaha,0.42983569481107153,-0.05299857526496865,0.1884185597730479
