placename,uhitmin,uhitmax,uhitavg
Wichita,1.2237647940851069,1.7953841926564735,1.5086199648429699
Springfield,-0.98528561745613596,0.31563260805606175,-0.33624116325173931
Raleigh,0.10724499345697466,-0.63748862055003597,-0.27529554080331736
Dallas,2.3957038551325356,1.3049480363703012,1.8489620519962244
Lancaster,1.5614481184158699,11.259019200478999,6.3844975601598106
Grand Rapids,4.1979793155453304,0.14228266680691917,2.1692282133983483
Modesto,2.6029864712869126,-0.73213329357523382,0.93714418399876109
Houston,0.57381411844773278,1.558500643760695,1.0695273259781459
Columbus,3.0576667591995927,0.45275642282372675,1.7519049897167378
Rochester,1.8864202985658196,0.85086217720727431,1.3619152939636847
Lincoln,1.8942537934843728,2.5262274601405039,2.2157056819404106
Anchorage,4.143200995908594,-1.1825717536338238,1.5069284872328872
Albuquerque,13.224302707818165,3.6449268951046276,8.4247501778398952
Kansas City,1.6916867462852694,-0.54633719516192225,0.56985968431301903
Madison,-0.22683459620953314,-0.89553705050783206,-0.54759177402628012
Corpus Christi,3.0851953300752455,-3.2538592303581226,-0.09752038693383866
Santa Rosa,-2.8677974199713328,4.3809410373602349,0.76251194457716309
Denver,6.203108702059227,9.1202203081074593,7.666978848703204
Saint Louis,-0.3140808700343598,0.44896489289758962,0.062987948705435309
Tampa,0.39547191545678262,0.1284811850207376,0.25705534806470498
Miami,-1.6204514707289164,-1.3013456283148614,-1.4591938110385698
Buffalo,-1.3682831672206717,-0.42952270802696263,-0.88963432914545282
Cleveland,2.0881376455412037,2.4764362330900469,2.1760281344641244
Richmond,2.1847412136474218,-0.2519602439770125,0.96514018904255328
Montgomery,2.839989393533604,2.7952270602978957,2.8190457212367335
El Paso,9.2932448915038854,-1.1383939349273107,4.069999164985342
Little Rock,3.4074495733527828,1.2271128634502575,2.3205897158087638
Virginia Beach,2.663623413384832,-0.95479233653045836,0.84377662377493579
Indianapolis,4.314852176938194,1.174920876496357,2.7584830230066615
Bakersfield,5.0554364272760521,-0.19917775461465084,2.4156283459812498
Portland,4.0420622752780409,3.716217883803556,3.8875376451175669
Mobile,-0.30462456269188465,1.2485290138978313,0.46753902280797205
Greensboro,-0.19817611662256523,1.5958678405181588,0.70672705619228959
Jackson,1.1547869720033532,0.63260088325732799,0.90556973032618515
Sioux Falls,0.85259145280413906,0.16527711419015531,0.51282097423599993
Boston,1.0945386192381092,-3.1766753889858053,-1.0090974075476935
Philadelphia,2.8346433547666336,-0.04166026628435162,1.347443127991123
Cape Coral,0.50322030213561386,-0.078644987001905517,0.21524350282662255
Winston-Salem,2.9980689720907128,0.14690449646971046,1.5734066778632012
Chattanooga,4.4545426804302322,1.9740233915856322,3.2095124591099604
Salt Lake City,18.543533120593974,8.5194359944991938,13.556922054275622
Charlotte,1.6310086735278559,1.2595403340684883,1.4481842844566599
Fort Wayne,2.1358045907607748,-0.73612892820812159,0.70804899364509455
Milwaukee,-0.95456327892014126,0.52180815601055452,-0.23169928832310802
Baton Rouge,0.83094201873323215,1.2128571948730027,1.0182448681549403
Newport News,3.0148467396575285,-0.088018877955184399,1.4557112314876832
Shreveport,3.439391803223903,1.2042198330122873,2.3248883852194782
San Diego,8.1938781026859893,-10.28573863402074,-1.0464319379081757
Spokane,6.1473242211825303,3.1051401497053646,4.6755794522292957
Las Vegas,16.131019966879535,14.203929824767812,15.168800682950907
Reno,8.4948058670366322,14.328733766032864,11.438174969774025
Fresno,3.0998530755885909,1.3431695329442888,2.2348582104147807
Minneapolis,1.707689534045177,-1.0015020969368778,0.34611189399538633
Cincinnati,0.9460612615951618,-0.0808512565269595,0.78541611056922422
Atlanta,3.5441757929412532,-0.15539141737762066,1.6967316521206341
Nashville,1.0038185805190607,-0.030519863486740916,0.47461790899978951
Orlando,1.2312800349104065,1.0635973415168265,1.1491301371027176
Birmingham,0.73382471164730423,-0.24640784210645705,0.23109261118289054
Des Moines,4.7295029994160434,2.1124724743855223,3.4261120401337819
