placeid,placename,uhitmin,uhitmax,uhitavg
7890,Fort Wayne,0.23983655435906215,-0.15569176196191847,0.042072396198587825
9218,Wichita,0.3707468623267829,-0.11340072764819098,0.12867306733928885
11474,Springfield,0.7724192642920471,-0.5304411751538538,0.12098904456908599
18444,Raleigh,0.16517106286951133,0.06830606168121989,0.11673856227537271
25621,Dallas,0.7376344449399781,-0.3242459849865611,0.20669422997669784
2071,Lancaster,0.8271235223743005,-0.4301826018361723,0.19847046026906767
11800,Grand Rapids,0.17604956370547953,0.18858103003857707,0.18231529687203363
20014,Cincinnati,0.15957482701319492,0.1873344946925357,0.17345466085287242
25649,Houston,0.07236761595499885,0.2828859296805746,0.1776267728178027
5175,Columbus,0.5346561142968582,-0.24318231830731207,0.14573689799479084
16966,Rochester,-0.07746863395097137,0.042775189868855534,-0.017346722041068574
25673,Brownsville,-0.10735458375833673,0.04682069098576136,-0.03026694638628058
586,Anchorage,-0.03769306893213553,-0.13396941016810615,-0.08583123955015282
16461,Albuquerque,-0.058802940572658,-0.27853253765256625,-0.1686677391126068
13906,Kansas City,0.4400092812649383,0.023339199876666328,0.23167424057082187
28769,Madison,-0.20650533820518646,4.1123812410196265,1.9529379514072147
25699,Corpus Christi,0.4374973247500229,-3.59879066407715,-1.580646669663544
2151,Santa Rosa,0.13156031830083137,0.31752443327725643,0.2245423757890208
4200,Miami,0.3288953927435081,0.07050370326483346,0.199699548004169
2322,Fresno,0.09784141806854407,0.08211578070906,0.08997859938879671
4207,Tampa,0.6227109310110102,0.49633479044515383,0.5595228607280731
3688,Denver,9.96630955664889,14.42609016694767,12.196199861798302
17171,Buffalo,-8.790039390109479,-15.414179496595239,-12.102109443352369
20088,Cleveland,0.3689498957031816,0.12743829980963284,0.2481940977564001
26755,Richmond,0.0330407738715941,0.011252319527443433,0.022146546699509884
132,Montgomery,0.3854471606068657,-0.0219712378571586,0.18173796137483933
25240,El Paso,-0.19481905357842244,-1.2283048444829525,-0.711561949030699
1689,Little Rock,-8.007727105221074,-11.947345093572025,-9.977536099396545
26778,Virginia Beach,0.12998707325060366,0.6083957623049159,0.3691914177777669
7450,Indianapolis,0.19367628522263303,0.37550437962329397,0.2845903324229653
2213,Bakersfield,0.046098350380344044,-0.015431286478090556,0.015333531951132073
21159,Portland,5.395872133392993,-0.3088078179866045,2.5435321577031793
169,Mobile,-4.538595397120535,0.5031206979118608,-2.017737349604353
18094,Greensboro,0.15010039072862114,-0.08498177899414827,0.03255930586724887
13488,Jackson,0.3179349536745235,0.19943207486367953,0.2586835142691086
23732,Sioux Falls,1.2806923514575033,0.8848404833188965,1.0827664173882177
11447,Boston,-0.0021605810986962126,0.012921180915611785,0.005380299908434694
22202,Philadelphia,0.29718039830962795,-0.28015066974255376,0.008514864283547752
4283,Cape Coral,0.09401147909674634,-0.06726428749996671,0.013373595798395144
18108,Winston-Salem,0.09401147909674634,-0.06726428749996671,0.013373595798395144
24259,Chattanooga,0.8971501544985259,0.13962538330913787,0.5183877689038034
26319,Salt Lake City,0.4111021201200309,0.004784859529586072,0.20794348982478894
18040,Charlotte,0.11517611078043899,0.34201964347291636,0.2285978771266599
2258,San Diego,0.3658731211793551,-0.08594692246191826,0.13996309935868823
28384,Milwaukee,0.3658731211793551,-0.08594692246191826,0.13996309935868823
18147,Fayetteville,0.1026478249867182,-0.1651577960405035,-0.031254985526896206
26855,Newport News,0.3241223784162699,0.3222024544756863,0.32316241644597454
295,Birmingham,0.6606465151927807,-0.4226790377989609,0.11898373869691525
23277,Providence,0.6606465151927807,-0.4226790377989609,0.11898373869691525
27401,Spokane,1.3316232586964691,1.0340361266428921,1.182829692669685
15627,Las Vegas,-0.004902462401631169,0.09403110430275063,0.04456432095056684
15628,Reno,-0.014065446743115828,0.04535616990018809,0.01564536157853169
24846,Lubbock,-0.003906905723745524,0.2993033031559236,0.14769819871607837
14098,Saint Louis,0.2404017952240416,0.2982674655859583,0.26933463040499106
12563,Minneapolis,-0.03168124762758673,0.004729908373569458,-0.013475669627009523
2094,Modesto,0.08342791530814964,-0.03428229796830706,0.024572808669915958
5398,Atlanta,0.9217554488546966,0.467057128158995,0.6944062885068547
24346,Nashville,-0.20387775638816485,1.076550824638172,0.4363365341250116
4388,Orlando,-0.05061647089203625,0.250752304341475,0.10006791672469717
10535,Shreveport,0.49485814926167393,0.4667624927178018,0.48081032098973964
9013,Des Moines,0.3001078485181843,0.10171372416968794,0.20091078634394677
11068,Baltimore,0.6150339186301572,-0.20228264912415383,0.20637563475298748
24387,Memphis,-0.06909749390953124,-0.07692616465312341,-0.07301182928134509
24395,Knoxville,0.16593390548570675,0.0894661230879592,0.12770001428682676
5968,Boise,0.9350591161987651,0.5570732036585611,0.7460661599286595
2386,Sacramento,0.40940151309863637,0.10405134608964772,0.25672642959415626
10467,Baton Rouge,-0.026778845226310466,0.10883937809845179,0.041030266436063556
21332,Salem,-3.8325744589317274,0.9573118363646813,-1.4376313112835177
13654,Springfield,5.029255607640469,0.06361970155889551,2.546437654599682
21867,Pittsburgh,0.33107912043230314,0.11915522476852658,0.22511717260040598
10611,New Orleans,0.27749558507313665,-0.019719657223667753,0.12888796392473978
21372,Eugene,-0.06858328807900094,0.08190130183447764,0.006659006877722362
12159,Detroit,1.14527138138234,-0.1656932750122202,0.48978905318506705
27521,Seattle,0.5805517360208903,-0.011125918212442798,0.2847129089042362
19336,Columbus,0.5805517360208903,-0.011125918212442798,0.2847129089042362
2201,Stockton,0.2413768976761581,0.21817594142293828,0.22977641954955885
