placeid,placename,uhitmin,uhitmax,uhitavg
7890,Fort Wayne,0.093860413275677956,-0.56217833163091768,-0.23708258761877232
9218,Wichita,-0.77843424691251073,0.63935738174869527,-0.05175621479970971
11474,Springfield,0.84153527631789871,0.4867614269788163,0.64103673895652946
18444,Raleigh,0.015978057904177945,0.31382991292650786,0.17626836555655245
25621,Dallas,0.52117763169090381,0.49453870590441795,0.52239290218388135
2071,Lancaster,2.6272473549455313,3.7986141948016154,3.1895728634265197
11800,Grand Rapids,4.4554569653948519,-0.41101625831556987,2.0442773968635066
20014,Cincinnati,0.6412959013333932,-0.043395711151092087,0.28959427050394027
25649,Houston,-0.12722162819187588,-0.028352886802991861,-0.054279105528763694
5175,Columbus,1.9258394780727599,0.57760522127594527,1.2610241996169123
16966,Rochester,0.56604594380787887,0.30517354489199988,0.41925662283377108
25673,Brownsville,-0.20582648822420424,0.57379072475858095,0.14554052899420356
586,Anchorage,1.4132346404486569,-1.1830191483901729,0.12312820871947849
16461,Albuquerque,nan,nan,nan
13906,Kansas City,1.3287131178072116,1.1699193817014475,1.2540882013242367
28769,Madison,1.1532028606309552,0.3159141133565555,0.74208008102768019
25699,Corpus Christi,0.67846482775527761,0.22524889458989605,0.45555609974348954
2151,Santa Rosa,2.7533704186057406,9.5334965240550957,6.1513129679024985
4200,Miami,1.9845129259949772,-0.9328381584634684,0.52280826692373239
2322,Fresno,4.5454225501628258,1.3564943718617002,2.9802748427373444
4207,Tampa,1.993278179188394,-0.28926237923820963,0.84987809309180307
3688,Denver,0.89690404958176373,1.2308158327180081,1.0637069254024141
17171,Buffalo,0.1044791343792113,3.2617908892384833,1.6831350118088437
20088,Cleveland,0.52282949438769322,0.27380208407464579,0.39170223801357906
26755,Richmond,2.0049157333128846,0.17275066412753404,1.0858973360282391
132,Montgomery,0.20932171781755926,0.11317934782609029,0.16520310199177857
25240,El Paso,nan,nan,nan
1689,Little Rock,0.56112475833396047,0.28426481580130769,0.41788949711715873
26778,Virginia Beach,2.2440184484612757,-0.15057934920183413,1.0511051030533309
7450,Indianapolis,1.2507490199708258,0.59559858496437812,0.90846623713342467
2213,Bakersfield,8.7113236595863839,5.4181507460555309,7.0583159246602776
21159,Portland,2.7822426915506497,2.1008057598808278,2.448538287290198
169,Mobile,0.20993049180641776,1.1444928126087746,0.68454914650565968
18094,Greensboro,0.71041779855151788,1.0928197705425475,0.90930462577402693
13488,Jackson,2.3245462581519405,1.2373724510904367,1.7754867742198996
23732,Sioux Falls,2.0323918062071371,1.4850312629074409,1.7587115345572926
11447,Boston,1.547626922685204,2.7182384867746663,2.1325778897641499
22202,Philadelphia,1.858507113571406,0.9351987429787556,1.3816985781190709
4283,Cape Coral,0.1620553359683754,-0.58491847826087451,-0.21143157114623534
18108,Winston-Salem,0.71041779855151788,1.0928197705425475,0.90930462577402693
24259,Chattanooga,1.1586039037938605,-1.7178680913486346,-0.11759005359331809
26319,Salt Lake City,4.7664696418329342,2.4868605402022581,3.6403812203381847
18040,Charlotte,2.4153196979729046,0.8861007466125983,1.6445654411479893
2258,San Diego,5.6297667660024331,-6.915173248732259,-0.63768870519349719
28384,Milwaukee,1.5300000979207269,0.82532652024021047,1.1715664707912055
18147,Fayetteville,0.015978057904177945,0.31382991292650786,0.17626836555655245
26855,Newport News,2.2440184484612757,-0.15057934920183413,1.0511051030533309
